consistency_bin,n,mean_initial_consistency,direct_acc,majority_k3_acc,majority_k5_acc,gated_k5_tau04_acc,use_rate_tau04
0-0.2,756,0.0992063492063492,0.16666666666666666,0.3333333333333333,0.3531746031746032,0.3531746031746032,1.0
0.2-0.4,384,0.4000000000000001,0.328125,0.2890625,0.3333333333333333,0.328125,0.0
0.4-0.6,496,0.6,0.45564516129032256,0.3870967741935484,0.45564516129032256,0.45564516129032256,0.0
0.6-0.8,680,0.8,0.6352941176470588,0.6352941176470588,0.6352941176470588,0.6352941176470588,0.0
0.8-1.0,3674,1.0,0.9202504082743603,0.9202504082743603,0.9202504082743603,0.9202504082743603,0.0
